cohorts_month,life_month,active_players,paying_players,active_subscribers,total_sub_revenue,total_purchase_revenue,total_items_bought,cohort_size,retention_rate
2016-01-01,0.0,1360,494,74,22000.0,389460.67,1531.0,1360,1.0
2016-01-01,1.0,1058,419,125,36600.0,347939.88,1357.0,1360,0.7779411764705882
2016-01-01,2.0,812,378,132,38500.0,299022.84,1225.0,1360,0.5970588235294118
2016-01-01,3.0,624,313,142,43100.0,215529.11,874.0,1360,0.4588235294117647
2016-01-01,4.0,498,275,130,39200.0,205173.99,799.0,1360,0.36617647058823527
2016-01-01,5.0,419,235,119,34900.0,181004.72,713.0,1360,0.30808823529411766
2016-01-01,6.0,350,194,104,28600.0,139806.72,534.0,1360,0.25735294117647056
2016-01-01,7.0,289,161,88,24400.0,113365.61,465.0,1360,0.2125
2016-01-01,8.0,252,139,73,19900.0,102483.12,392.0,1360,0.18529411764705883
2016-01-01,9.0,219,115,58,16000.0,73869.8,280.0,1360,0.1610294117647059
2016-01-01,10.0,197,103,52,14800.0,65996.52,280.0,1360,0.1448529411764706
2016-01-01,11.0,189,86,49,14400.0,68617.76,274.0,1360,0.13897058823529412
2016-01-01,12.0,199,99,50,14000.0,68803.54,290.0,1360,0.1463235294117647
2016-01-01,13.0,186,103,45,12500.0,74192.72,314.0,1360,0.13676470588235295
2016-01-01,14.0,175,102,42,12200.0,75268.43,265.0,1360,0.12867647058823528
2016-01-01,15.0,174,93,42,12700.0,63490.71,269.0,1360,0.12794117647058822
2016-01-01,16.0,167,80,34,10200.0,50631.409999999996,201.0,1360,0.12279411764705882
2016-01-01,17.0,157,76,34,10900.0,53412.09,214.0,1360,0.11544117647058824
2016-01-01,18.0,161,78,30,8700.0,58693.96,223.0,1360,0.11838235294117647
2016-01-01,19.0,166,71,35,10500.0,60593.51,250.0,1360,0.12205882352941176
2016-01-01,20.0,164,89,38,12300.0,69357.43,286.0,1360,0.12058823529411765
