player_id,install_date,acquisition_channel,country
1,2020-01-01,Ads,RU
2,2020-01-01,Ads,RU
3,2020-01-01,Organic,BR
4,2020-01-01,Ads,DE
5,2020-01-01,Organic,DE
6,2020-01-01,Ads,RU
7,2020-01-01,Ads,RU
8,2020-01-01,Organic,US
9,2020-01-01,Organic,BR
10,2020-01-01,Ads,BR
11,2020-01-02,Ads,BR
12,2020-01-02,Organic,RU
13,2020-01-02,Referral,BR
14,2020-01-02,Ads,BR
15,2020-01-02,Ads,RU
16,2020-01-02,Organic,RU
17,2020-01-03,Referral,US
18,2020-01-03,Organic,RU
19,2020-01-03,Ads,US
20,2020-01-03,Ads,BR
21,2020-01-04,Organic,BR
22,2020-01-04,Ads,JP
23,2020-01-05,Organic,RU
24,2020-01-05,Ads,RU
25,2020-01-06,Ads,US
26,2020-01-07,Referral,RU
27,2020-01-07,Referral,RU
28,2020-01-07,Ads,DE
29,2020-01-08,Ads,RU
30,2020-01-08,Ads,RU
31,2020-01-08,Organic,RU
32,2020-01-08,Ads,JP
33,2020-01-09,Referral,RU
34,2020-01-09,Organic,RU
35,2020-01-10,Organic,JP
36,2020-01-10,Organic,RU
37,2020-01-10,Organic,RU
38,2020-01-11,Organic,US
39,2020-01-11,Organic,RU
40,2020-01-11,Organic,RU
41,2020-01-11,Ads,BR
42,2020-01-11,Organic,RU
43,2020-01-12,Ads,US
44,2020-01-12,Referral,US
45,2020-01-12,Referral,RU
46,2020-01-12,Ads,US
47,2020-01-12,Organic,RU
48,2020-01-12,Referral,RU
49,2020-01-12,Ads,US
50,2020-01-13,Organic,RU
51,2020-01-13,Organic,US
52,2020-01-13,Organic,RU
53,2020-01-14,Organic,RU
54,2020-01-14,Organic,DE
55,2020-01-14,Referral,RU
56,2020-01-15,Ads,BR
57,2020-01-15,Ads,US
58,2020-01-15,Ads,JP
59,2020-01-15,Ads,RU
60,2020-01-15,Referral,JP
61,2020-01-15,Referral,US
62,2020-01-16,Organic,DE
63,2020-01-16,Referral,JP
64,2020-01-16,Ads,US
65,2020-01-16,Organic,BR
66,2020-01-16,Ads,US
67,2020-01-17,Ads,US
68,2020-01-17,Referral,RU
69,2020-01-18,Organic,RU
70,2020-01-18,Ads,US
71,2020-01-18,Organic,JP
72,2020-01-18,Organic,DE
73,2020-01-18,Organic,DE
74,2020-01-18,Ads,US
75,2020-01-19,Ads,RU
76,2020-01-19,Organic,RU
77,2020-01-19,Ads,RU
78,2020-01-19,Organic,RU
79,2020-01-19,Organic,US
80,2020-01-19,Ads,BR
81,2020-01-20,Organic,RU
82,2020-01-20,Ads,RU
83,2020-01-20,Organic,RU
84,2020-01-20,Organic,RU
85,2020-01-20,Ads,RU
86,2020-01-20,Ads,RU
87,2020-01-20,Organic,RU
88,2020-01-20,Ads,JP
89,2020-01-21,Ads,RU
90,2020-01-21,Ads,DE
91,2020-01-21,Organic,US
92,2020-01-21,Ads,RU
93,2020-01-21,Ads,BR
94,2020-01-21,Organic,US
95,2020-01-21,Referral,RU
96,2020-01-21,Referral,RU
97,2020-01-21,Referral,DE
98,2020-01-22,Ads,RU
99,2020-01-22,Ads,RU
100,2020-01-23,Ads,RU
101,2020-01-23,Ads,RU
102,2020-01-23,Ads,DE
103,2020-01-23,Ads,BR
104,2020-01-23,Organic,US
105,2020-01-23,Organic,RU
106,2020-01-24,Referral,JP
107,2020-01-24,Organic,US
108,2020-01-24,Ads,DE
109,2020-01-24,Referral,RU
110,2020-01-24,Ads,RU
111,2020-01-25,Referral,BR
112,2020-01-25,Ads,RU
113,2020-01-25,Organic,DE
114,2020-01-25,Ads,US
115,2020-01-25,Organic,RU
116,2020-01-25,Organic,DE
117,2020-01-25,Organic,RU
118,2020-01-26,Organic,DE
119,2020-01-26,Organic,JP
120,2020-01-26,Organic,JP
121,2020-01-26,Ads,BR
122,2020-01-26,Ads,US
123,2020-01-26,Organic,US
124,2020-01-26,Organic,DE
125,2020-01-27,Ads,RU
126,2020-01-27,Ads,RU
127,2020-01-27,Referral,US
128,2020-01-27,Organic,RU
129,2020-01-27,Referral,JP
130,2020-01-27,Ads,RU
131,2020-01-27,Ads,RU
132,2020-01-28,Organic,RU
133,2020-01-28,Organic,BR
134,2020-01-28,Organic,JP
135,2020-01-29,Organic,RU
136,2020-01-29,Ads,DE
137,2020-01-29,Ads,US
138,2020-01-29,Ads,US
139,2020-01-29,Ads,DE
140,2020-01-29,Ads,RU
141,2020-01-30,Organic,US
142,2020-01-30,Referral,RU
143,2020-01-30,Ads,RU
144,2020-01-30,Organic,RU
145,2020-01-31,Organic,RU
146,2020-01-31,Ads,US
147,2020-01-31,Ads,RU
148,2020-01-31,Organic,US
149,2020-01-31,Ads,US
150,2020-01-31,Ads,JP
151,2020-02-01,Ads,US
152,2020-02-01,Organic,JP
153,2020-02-02,Organic,RU
154,2020-02-02,Referral,DE
155,2020-02-02,Referral,RU
156,2020-02-03,Organic,DE
157,2020-02-03,Organic,RU
158,2020-02-03,Organic,US
159,2020-02-04,Organic,RU
160,2020-02-04,Ads,RU
161,2020-02-05,Referral,DE
162,2020-02-05,Organic,JP
163,2020-02-05,Organic,RU
164,2020-02-05,Referral,JP
165,2020-02-06,Organic,RU
166,2020-02-06,Referral,DE
167,2020-02-07,Ads,JP
168,2020-02-07,Referral,RU
169,2020-02-08,Organic,RU
170,2020-02-08,Organic,RU
171,2020-02-08,Organic,RU
172,2020-02-08,Organic,DE
173,2020-02-08,Organic,US
174,2020-02-08,Referral,JP
175,2020-02-09,Ads,RU
176,2020-02-09,Ads,US
177,2020-02-09,Organic,RU
178,2020-02-09,Ads,JP
179,2020-02-09,Ads,RU
180,2020-02-09,Organic,JP
181,2020-02-09,Referral,RU
182,2020-02-10,Organic,US
183,2020-02-11,Organic,RU
184,2020-02-11,Organic,BR
185,2020-02-11,Ads,US
186,2020-02-11,Ads,US
187,2020-02-11,Organic,US
188,2020-02-11,Organic,RU
189,2020-02-11,Organic,RU
190,2020-02-11,Organic,BR
191,2020-02-12,Organic,RU
192,2020-02-12,Organic,BR
193,2020-02-12,Organic,US
194,2020-02-13,Referral,RU
195,2020-02-13,Ads,US
196,2020-02-13,Ads,US
197,2020-02-13,Organic,DE
198,2020-02-13,Organic,BR
199,2020-02-14,Organic,RU
200,2020-02-14,Organic,JP
201,2020-02-14,Organic,RU
202,2020-02-14,Referral,BR
203,2020-02-14,Referral,RU
204,2020-02-15,Organic,RU
205,2020-02-16,Organic,US
206,2020-02-16,Referral,RU
207,2020-02-16,Organic,JP
208,2020-02-16,Ads,RU
209,2020-02-16,Referral,RU
210,2020-02-16,Referral,RU
211,2020-02-17,Organic,RU
212,2020-02-18,Organic,US
213,2020-02-18,Organic,US
214,2020-02-18,Referral,RU
215,2020-02-18,Referral,RU
216,2020-02-19,Ads,RU
217,2020-02-19,Ads,RU
218,2020-02-19,Ads,DE
219,2020-02-19,Ads,DE
220,2020-02-19,Ads,DE
221,2020-02-19,Ads,JP
222,2020-02-20,Ads,BR
223,2020-02-20,Organic,RU
224,2020-02-20,Ads,RU
225,2020-02-20,Organic,JP
226,2020-02-20,Organic,US
227,2020-02-20,Ads,RU
228,2020-02-21,Ads,US
229,2020-02-21,Referral,JP
230,2020-02-22,Organic,BR
231,2020-02-22,Ads,RU
232,2020-02-22,Organic,JP
233,2020-02-22,Referral,JP
234,2020-02-23,Organic,RU
235,2020-02-23,Ads,BR
236,2020-02-23,Ads,BR
237,2020-02-23,Organic,RU
238,2020-02-23,Referral,US
239,2020-02-24,Referral,RU
240,2020-02-24,Organic,US
241,2020-02-24,Organic,JP
242,2020-02-24,Organic,RU
243,2020-02-25,Organic,RU
244,2020-02-25,Referral,JP
245,2020-02-25,Referral,JP
246,2020-02-25,Organic,RU
247,2020-02-25,Organic,JP
248,2020-02-25,Ads,RU
249,2020-02-26,Organic,RU
250,2020-02-26,Organic,DE
251,2020-02-26,Organic,DE
252,2020-02-27,Ads,DE
253,2020-02-27,Ads,RU
254,2020-02-27,Ads,RU
255,2020-02-27,Organic,JP
256,2020-02-27,Ads,RU
257,2020-02-27,Ads,RU
258,2020-02-27,Referral,BR
259,2020-02-28,Organic,US
260,2020-02-28,Referral,RU
261,2020-02-28,Referral,RU
262,2020-02-28,Organic,BR
263,2020-02-28,Organic,JP
264,2020-02-29,Referral,RU
265,2020-02-29,Ads,US
266,2020-03-01,Referral,RU
267,2020-03-01,Ads,BR
268,2020-03-01,Ads,RU
269,2020-03-01,Organic,DE
270,2020-03-01,Organic,US
271,2020-03-01,Referral,US
272,2020-03-01,Organic,BR
273,2020-03-01,Organic,RU
274,2020-03-01,Ads,BR
275,2020-03-01,Ads,RU
276,2020-03-01,Organic,RU
277,2020-03-01,Organic,RU
278,2020-03-01,Organic,RU
279,2020-03-01,Organic,RU
280,2020-03-01,Ads,BR
281,2020-03-01,Organic,US
282,2020-03-01,Referral,BR
283,2020-03-01,Ads,US
284,2020-03-01,Ads,RU
285,2020-03-01,Organic,RU
286,2020-03-01,Ads,BR
287,2020-03-01,Organic,RU
288,2020-03-01,Organic,RU
289,2020-03-01,Ads,RU
290,2020-03-01,Organic,RU
291,2020-03-01,Ads,US
292,2020-03-01,Organic,RU
293,2020-03-01,Organic,US
294,2020-03-01,Referral,RU
295,2020-03-01,Ads,DE
296,2020-03-01,Ads,BR
297,2020-03-01,Ads,US
298,2020-03-01,Organic,RU
299,2020-03-01,Ads,RU
300,2020-03-01,Organic,BR
301,2020-03-01,Ads,RU
302,2020-03-01,Ads,RU
303,2020-03-01,Referral,JP
304,2020-03-01,Ads,JP
305,2020-03-01,Organic,BR
306,2020-03-02,Ads,JP
307,2020-03-02,Organic,BR
308,2020-03-02,Organic,DE
309,2020-03-02,Organic,RU
310,2020-03-02,Ads,JP
311,2020-03-02,Organic,BR
312,2020-03-02,Organic,RU
313,2020-03-02,Referral,RU
314,2020-03-02,Ads,RU
315,2020-03-02,Organic,JP
316,2020-03-02,Organic,US
317,2020-03-02,Ads,RU
318,2020-03-02,Referral,RU
319,2020-03-02,Organic,JP
320,2020-03-02,Ads,US
321,2020-03-02,Ads,RU
322,2020-03-02,Ads,RU
323,2020-03-02,Referral,RU
324,2020-03-02,Ads,RU
325,2020-03-02,Referral,US
326,2020-03-02,Organic,US
327,2020-03-02,Ads,RU
328,2020-03-02,Ads,US
329,2020-03-02,Organic,RU
330,2020-03-02,Ads,JP
331,2020-03-02,Organic,RU
332,2020-03-02,Organic,RU
333,2020-03-02,Organic,RU
334,2020-03-02,Ads,RU
335,2020-03-02,Referral,RU
336,2020-03-02,Organic,RU
337,2020-03-02,Ads,DE
338,2020-03-02,Organic,RU
339,2020-03-02,Referral,RU
340,2020-03-02,Ads,JP
341,2020-03-02,Ads,RU
342,2020-03-02,Ads,DE
343,2020-03-02,Organic,RU
344,2020-03-02,Ads,RU
345,2020-03-02,Referral,RU
346,2020-03-02,Organic,RU
347,2020-03-02,Ads,JP
348,2020-03-02,Referral,RU
349,2020-03-02,Organic,US
350,2020-03-02,Referral,US
351,2020-03-03,Referral,RU
352,2020-03-03,Ads,DE
353,2020-03-03,Organic,RU
354,2020-03-03,Organic,DE
355,2020-03-03,Organic,BR
356,2020-03-03,Ads,RU
357,2020-03-03,Ads,RU
358,2020-03-03,Ads,RU
359,2020-03-03,Organic,RU
360,2020-03-03,Organic,RU
361,2020-03-03,Ads,JP
362,2020-03-03,Ads,RU
363,2020-03-03,Referral,RU
364,2020-03-03,Ads,RU
365,2020-03-03,Ads,RU
366,2020-03-03,Ads,RU
367,2020-03-03,Ads,RU
368,2020-03-03,Organic,RU
369,2020-03-03,Referral,RU
370,2020-03-03,Ads,US
371,2020-03-03,Organic,JP
372,2020-03-03,Organic,RU
373,2020-03-03,Organic,BR
374,2020-03-03,Ads,RU
375,2020-03-03,Organic,DE
376,2020-03-03,Organic,RU
377,2020-03-03,Ads,BR
378,2020-03-03,Organic,BR
379,2020-03-03,Ads,DE
380,2020-03-03,Organic,BR
381,2020-03-03,Ads,US
382,2020-03-03,Organic,RU
383,2020-03-03,Organic,US
384,2020-03-03,Organic,RU
385,2020-03-03,Ads,RU
386,2020-03-04,Ads,RU
387,2020-03-04,Organic,US
388,2020-03-04,Ads,RU
389,2020-03-04,Organic,US
390,2020-03-04,Referral,US
391,2020-03-04,Referral,RU
392,2020-03-04,Ads,RU
393,2020-03-04,Ads,JP
394,2020-03-04,Ads,BR
395,2020-03-04,Ads,RU
396,2020-03-04,Ads,RU
397,2020-03-04,Referral,RU
398,2020-03-04,Ads,RU
399,2020-03-04,Ads,RU
400,2020-03-04,Ads,JP
401,2020-03-04,Ads,JP
402,2020-03-04,Ads,BR
403,2020-03-04,Organic,RU
404,2020-03-04,Organic,RU
405,2020-03-04,Organic,US
406,2020-03-04,Ads,US
407,2020-03-04,Organic,RU
408,2020-03-04,Referral,US
409,2020-03-04,Ads,DE
410,2020-03-04,Ads,DE
411,2020-03-04,Organic,US
412,2020-03-04,Ads,DE
413,2020-03-04,Ads,RU
414,2020-03-04,Ads,US
415,2020-03-04,Organic,RU
416,2020-03-04,Ads,RU
417,2020-03-04,Ads,RU
418,2020-03-04,Ads,RU
419,2020-03-04,Referral,JP
420,2020-03-04,Referral,RU
421,2020-03-04,Referral,JP
422,2020-03-04,Ads,RU
423,2020-03-04,Referral,RU
424,2020-03-04,Ads,US
425,2020-03-04,Organic,RU
426,2020-03-04,Organic,US
427,2020-03-04,Organic,RU
428,2020-03-04,Organic,BR
429,2020-03-04,Organic,RU
430,2020-03-05,Organic,US
431,2020-03-05,Ads,RU
432,2020-03-05,Organic,DE
433,2020-03-05,Organic,US
434,2020-03-05,Ads,RU
435,2020-03-05,Ads,RU
436,2020-03-05,Referral,US
437,2020-03-05,Ads,JP
438,2020-03-05,Organic,RU
439,2020-03-05,Organic,DE
440,2020-03-05,Organic,US
441,2020-03-05,Organic,US
442,2020-03-05,Organic,JP
443,2020-03-05,Referral,US
444,2020-03-05,Organic,BR
445,2020-03-05,Organic,US
446,2020-03-05,Organic,RU
447,2020-03-05,Ads,US
448,2020-03-05,Organic,JP
449,2020-03-05,Organic,BR
450,2020-03-05,Organic,RU
451,2020-03-05,Organic,RU
452,2020-03-05,Organic,US
453,2020-03-05,Ads,US
454,2020-03-05,Organic,RU
455,2020-03-05,Ads,RU
456,2020-03-05,Ads,DE
457,2020-03-05,Ads,DE
458,2020-03-05,Organic,BR
459,2020-03-05,Organic,JP
460,2020-03-05,Organic,RU
461,2020-03-05,Ads,BR
462,2020-03-05,Ads,US
463,2020-03-05,Organic,JP
464,2020-03-05,Ads,RU
465,2020-03-06,Ads,RU
466,2020-03-06,Ads,DE
467,2020-03-06,Organic,JP
468,2020-03-06,Ads,BR
469,2020-03-06,Organic,DE
470,2020-03-06,Ads,RU
471,2020-03-06,Organic,DE
472,2020-03-06,Organic,BR
473,2020-03-06,Referral,DE
474,2020-03-06,Ads,US
475,2020-03-06,Organic,RU
476,2020-03-06,Organic,US
477,2020-03-06,Ads,RU
478,2020-03-06,Referral,JP
479,2020-03-06,Ads,US
480,2020-03-06,Referral,US
481,2020-03-06,Organic,JP
482,2020-03-06,Ads,RU
483,2020-03-06,Ads,RU
484,2020-03-06,Ads,US
485,2020-03-06,Organic,RU
486,2020-03-06,Ads,RU
487,2020-03-06,Ads,BR
488,2020-03-06,Ads,US
489,2020-03-06,Ads,RU
490,2020-03-06,Ads,RU
491,2020-03-06,Ads,RU
492,2020-03-06,Organic,US
493,2020-03-06,Organic,RU
494,2020-03-06,Ads,BR
495,2020-03-06,Referral,US
496,2020-03-06,Organic,RU
497,2020-03-06,Ads,RU
498,2020-03-06,Organic,US
499,2020-03-06,Organic,RU
500,2020-03-06,Ads,US
501,2020-03-06,Ads,JP
502,2020-03-06,Organic,RU
503,2020-03-06,Ads,RU
504,2020-03-06,Ads,BR
505,2020-03-06,Referral,RU
506,2020-03-06,Organic,RU
507,2020-03-06,Ads,RU
508,2020-03-06,Organic,JP
509,2020-03-06,Organic,JP
510,2020-03-06,Ads,RU
511,2020-03-06,Ads,US
512,2020-03-06,Organic,RU
513,2020-03-06,Referral,US
514,2020-03-06,Ads,RU
515,2020-03-07,Ads,RU
516,2020-03-07,Ads,BR
517,2020-03-07,Organic,RU
518,2020-03-07,Ads,RU
519,2020-03-07,Organic,BR
520,2020-03-07,Referral,DE
521,2020-03-07,Organic,US
522,2020-03-07,Organic,JP
523,2020-03-07,Ads,RU
524,2020-03-07,Organic,RU
525,2020-03-07,Organic,RU
526,2020-03-07,Organic,RU
527,2020-03-07,Referral,RU
528,2020-03-07,Ads,US
529,2020-03-07,Organic,RU
530,2020-03-07,Organic,RU
531,2020-03-07,Organic,RU
532,2020-03-07,Ads,RU
533,2020-03-07,Ads,US
534,2020-03-07,Organic,RU
535,2020-03-07,Organic,RU
536,2020-03-07,Organic,JP
537,2020-03-07,Organic,DE
538,2020-03-07,Organic,US
539,2020-03-07,Ads,US
540,2020-03-07,Organic,US
541,2020-03-07,Ads,RU
542,2020-03-07,Ads,RU
543,2020-03-07,Organic,US
544,2020-03-07,Ads,RU
545,2020-03-07,Ads,RU
546,2020-03-07,Organic,RU
547,2020-03-07,Ads,RU
548,2020-03-07,Organic,JP
549,2020-03-07,Referral,RU
550,2020-03-07,Ads,RU
