player_id,plan_type,start_date,end_date,monthly_fee,discount_pct
2,Basic,2020-01-01,2020-02-01,200,5.0
13,Premium,2020-01-01,2020-02-01,500,10.0
36,Premium,2020-01-01,2020-07-01,500,10.0
42,Basic,2020-01-01,2020-07-01,200,5.0
58,Basic,2020-01-01,2020-04-01,200,5.0
65,Basic,2020-01-01,2020-04-01,200,5.0
79,Basic,2020-01-01,2020-02-01,200,5.0
89,Basic,2020-01-01,2020-02-01,200,5.0
109,Basic,2020-01-01,2020-07-01,200,5.0
135,Basic,2020-01-01,2021-01-01,200,5.0
140,Premium,2020-01-01,2021-01-01,500,10.0
144,Basic,2020-01-01,2020-04-01,200,5.0
145,Premium,2020-01-01,2020-04-01,500,10.0
1,Premium,2020-02-01,2020-05-01,500,10.0
10,Basic,2020-02-01,2020-08-01,200,5.0
11,Basic,2020-02-01,2020-08-01,200,5.0
43,Basic,2020-02-01,2020-05-01,200,5.0
50,Basic,2020-02-01,2020-05-01,200,5.0
57,Basic,2020-02-01,2020-03-01,200,5.0
67,Basic,2020-02-01,2020-03-01,200,5.0
71,Basic,2020-02-01,2021-02-01,200,5.0
72,Premium,2020-02-01,2020-05-01,500,10.0
90,Basic,2020-02-01,2020-05-01,200,5.0
91,Basic,2020-02-01,2020-03-01,200,5.0
104,Premium,2020-02-01,2020-05-01,500,10.0
154,Basic,2020-02-01,2020-05-01,200,5.0
196,Basic,2020-02-01,2020-03-01,200,5.0
11,Premium,2020-02-01,2020-03-01,500,10.0
196,Premium,2020-02-01,2020-05-01,500,10.0
5,Basic,2020-03-01,2020-06-01,200,5.0
19,Basic,2020-03-01,2020-04-01,200,5.0
52,Basic,2020-03-01,2020-09-01,200,5.0
53,Basic,2020-03-01,2020-06-01,200,5.0
89,Basic,2020-03-01,2020-06-01,200,5.0
91,Basic,2020-03-01,2020-06-01,200,5.0
208,Basic,2020-03-01,2020-04-01,200,5.0
238,Basic,2020-03-01,2020-04-01,200,5.0
244,Basic,2020-03-01,2020-04-01,200,5.0
270,Basic,2020-03-01,2020-04-01,200,5.0
327,Basic,2020-03-01,2020-06-01,200,5.0
377,Basic,2020-03-01,2020-06-01,200,5.0
388,Basic,2020-03-01,2021-03-01,200,5.0
398,Basic,2020-03-01,2020-04-01,200,5.0
419,Basic,2020-03-01,2020-04-01,200,5.0
446,Basic,2020-03-01,2020-09-01,200,5.0
452,Basic,2020-03-01,2020-04-01,200,5.0
459,Premium,2020-03-01,2021-03-01,500,10.0
463,Premium,2020-03-01,2020-09-01,500,10.0
466,Premium,2020-03-01,2020-06-01,500,10.0
486,Basic,2020-03-01,2021-03-01,200,5.0
487,Basic,2020-03-01,2020-06-01,200,5.0
499,Basic,2020-03-01,2020-06-01,200,5.0
513,Premium,2020-03-01,2020-04-01,500,10.0
522,Premium,2020-03-01,2020-04-01,500,10.0
534,Premium,2020-03-01,2020-06-01,500,10.0
546,Basic,2020-03-01,2020-04-01,200,5.0
617,Premium,2020-03-01,2020-04-01,500,10.0
631,Basic,2020-03-01,2020-06-01,200,5.0
635,Premium,2020-03-01,2020-04-01,500,10.0
668,Basic,2020-03-01,2020-06-01,200,5.0
670,Basic,2020-03-01,2020-09-01,200,5.0
688,Basic,2020-03-01,2020-09-01,200,5.0
731,Basic,2020-03-01,2020-06-01,200,5.0
737,Basic,2020-03-01,2020-04-01,200,5.0
780,Basic,2020-03-01,2020-04-01,200,5.0
786,Premium,2020-03-01,2020-06-01,500,10.0
792,Basic,2020-03-01,2020-09-01,200,5.0
793,Basic,2020-03-01,2020-06-01,200,5.0
795,Basic,2020-03-01,2020-04-01,200,5.0
815,Premium,2020-03-01,2020-04-01,500,10.0
816,Basic,2020-03-01,2020-06-01,200,5.0
834,Basic,2020-03-01,2020-04-01,200,5.0
835,Basic,2020-03-01,2020-09-01,200,5.0
843,Premium,2020-03-01,2021-03-01,500,10.0
854,Premium,2020-03-01,2020-06-01,500,10.0
