day,DAU,LDAU,WAU,LWAU,MAU,LMAU,SF(week),SF(month)
"2 июля, 2022",3,0,3,0,3,0,100.00%,100.00%
"3 июля, 2022",6,1,6,1,6,1,100.00%,100.00%
"4 июля, 2022",5,2,7,2,7,2,71.43%,71.43%
"5 июля, 2022",10,5,14,5,14,5,71.43%,71.43%
"6 июля, 2022",4,0,17,5,17,5,23.53%,23.53%
"7 июля, 2022",12,5,23,8,23,8,52.17%,52.17%
"8 июля, 2022",19,5,34,12,34,12,55.88%,55.88%
"9 июля, 2022",21,9,44,16,44,16,47.73%,47.73%
"10 июля, 2022",24,9,57,20,57,20,42.11%,42.11%
"11 июля, 2022",22,5,64,24,64,24,34.38%,34.38%
"12 июля, 2022",22,6,71,25,71,25,30.99%,30.99%
"13 июля, 2022",29,11,73,25,73,25,39.73%,39.73%
"14 июля, 2022",30,8,78,26,78,26,38.46%,38.46%
"15 июля, 2022",20,5,82,28,84,28,24.39%,23.81%
"16 июля, 2022",31,13,84,27,89,30,36.90%,34.83%
"17 июля, 2022",37,15,91,31,94,32,40.66%,39.36%
"18 июля, 2022",22,9,95,36,99,37,23.16%,22.22%
"19 июля, 2022",37,12,104,37,109,39,35.58%,33.94%
"20 июля, 2022",30,9,107,38,111,40,28.04%,27.03%
"21 июля, 2022",44,15,112,41,118,43,39.29%,37.29%
"22 июля, 2022",38,15,116,43,122,44,32.76%,31.15%
"23 июля, 2022",39,18,122,46,127,47,31.97%,30.71%
"24 июля, 2022",48,18,129,47,134,49,37.21%,35.82%
"25 июля, 2022",57,24,134,50,142,54,42.54%,40.14%
"26 июля, 2022",41,16,144,56,155,61,28.47%,26.45%
"27 июля, 2022",57,16,153,57,161,62,37.25%,35.40%
"28 июля, 2022",53,25,159,63,171,68,33.33%,30.99%
"29 июля, 2022",52,22,164,64,177,71,31.71%,29.38%
"30 июля, 2022",59,23,176,69,186,74,33.52%,31.72%
"31 июля, 2022",56,23,180,72,193,77,31.11%,29.02%
"1 августа, 2022",45,11,180,72,194,77,25.00%,23.20%
"2 августа, 2022",54,20,186,75,201,81,29.03%,26.87%
"3 августа, 2022",54,26,185,76,205,83,29.19%,26.34%
"4 августа, 2022",55,24,184,76,209,84,29.89%,26.32%
"5 августа, 2022",44,24,184,75,213,87,23.91%,20.66%
"6 августа, 2022",54,24,186,76,221,91,29.03%,24.43%
"7 августа, 2022",55,21,196,81,230,95,28.06%,23.91%
"8 августа, 2022",55,25,195,83,234,96,28.21%,23.50%
"9 августа, 2022",52,23,182,80,238,97,28.57%,21.85%
"10 августа, 2022",46,19,179,78,243,98,25.70%,18.93%
"11 августа, 2022",59,28,181,79,253,101,32.60%,23.32%
"12 августа, 2022",48,26,177,74,257,103,27.12%,18.68%
"13 августа, 2022",65,24,184,77,267,103,35.33%,24.34%
"14 августа, 2022",51,18,183,73,273,105,27.87%,18.68%
"15 августа, 2022",48,18,186,77,283,111,25.81%,16.96%
"16 августа, 2022",61,20,183,77,288,113,33.33%,21.18%
"17 августа, 2022",54,20,187,79,294,116,28.88%,18.37%
"18 августа, 2022",56,25,189,78,299,119,29.63%,18.73%
"19 августа, 2022",48,26,191,76,307,121,25.13%,15.64%
"20 августа, 2022",61,30,197,83,316,127,30.96%,19.30%
"21 августа, 2022",55,27,195,84,322,130,28.21%,17.08%
"22 августа, 2022",46,17,196,85,326,134,23.47%,14.11%
"23 августа, 2022",56,26,196,88,335,138,28.57%,16.72%
"24 августа, 2022",63,28,196,87,344,140,32.14%,18.31%
"25 августа, 2022",60,23,196,90,354,145,30.61%,16.95%
"26 августа, 2022",59,25,202,89,359,149,29.21%,16.43%
"27 августа, 2022",56,25,198,87,359,150,28.28%,15.60%
"28 августа, 2022",55,22,198,84,363,152,27.78%,15.15%
"29 августа, 2022",51,20,193,83,358,148,26.42%,14.25%
"30 августа, 2022",66,24,194,81,358,146,34.02%,18.44%
"31 августа, 2022",48,19,194,79,357,147,24.74%,13.45%
"1 сентября, 2022",61,21,193,79,348,146,31.61%,17.53%
"2 сентября, 2022",54,24,187,76,348,146,28.88%,15.52%
"3 сентября, 2022",54,21,186,71,347,145,29.03%,15.56%
"4 сентября, 2022",60,22,189,74,347,142,31.75%,17.29%
"5 сентября, 2022",58,15,188,73,347,142,30.85%,16.71%
"6 сентября, 2022",44,17,181,69,345,140,24.31%,12.75%
"7 сентября, 2022",45,16,181,67,344,140,24.86%,13.08%
"8 сентября, 2022",55,24,177,64,344,138,31.07%,15.99%
"9 сентября, 2022",54,29,184,67,350,140,29.35%,15.43%
"10 сентября, 2022",49,19,191,70,350,138,25.65%,14.00%
"11 сентября, 2022",53,21,186,72,351,139,28.49%,15.10%
"12 сентября, 2022",50,20,184,74,354,143,27.17%,14.12%
"13 сентября, 2022",57,21,186,74,355,143,30.65%,16.06%
"14 сентября, 2022",57,17,192,75,356,144,29.69%,16.01%
"15 сентября, 2022",71,28,194,76,357,143,36.60%,19.89%
"16 сентября, 2022",53,28,193,73,359,146,27.46%,14.76%
"17 сентября, 2022",59,24,198,75,360,148,29.80%,16.39%
"18 сентября, 2022",64,24,201,76,366,150,31.84%,17.49%
"19 сентября, 2022",57,24,208,75,366,146,27.40%,15.57%
"20 сентября, 2022",58,26,212,77,365,145,27.36%,15.89%
"21 сентября, 2022",66,28,209,77,368,146,31.58%,17.93%
"22 сентября, 2022",60,20,202,77,366,144,29.70%,16.39%
"23 сентября, 2022",51,17,203,74,365,140,25.12%,13.97%
"24 сентября, 2022",51,17,200,72,365,139,25.50%,13.97%
"25 сентября, 2022",69,28,204,77,365,142,33.82%,18.90%
"26 сентября, 2022",53,21,199,75,360,138,26.63%,14.72%
"27 сентября, 2022",70,21,198,68,365,139,35.35%,19.18%
"28 сентября, 2022",58,20,195,64,370,141,29.74%,15.68%
"29 сентября, 2022",62,17,203,70,368,139,30.54%,16.85%
"30 сентября, 2022",55,15,202,70,367,138,27.23%,14.99%
"1 октября, 2022",59,22,200,70,366,136,29.50%,16.12%
"2 октября, 2022",46,14,202,68,373,136,22.77%,12.33%
"3 октября, 2022",60,18,205,66,381,136,29.27%,15.75%
"4 октября, 2022",65,23,214,70,386,137,30.37%,16.84%
"5 октября, 2022",40,16,204,65,383,136,19.61%,10.44%
"6 октября, 2022",70,23,200,62,380,135,35.00%,18.42%
"7 октября, 2022",55,18,194,60,379,133,28.35%,14.51%
"8 октября, 2022",48,13,190,59,379,134,25.26%,12.66%
"9 октября, 2022",64,20,200,62,381,131,32.00%,16.80%
"10 октября, 2022",48,16,191,60,377,129,25.13%,12.73%
"11 октября, 2022",55,21,183,60,375,128,30.05%,14.67%
